    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
                   8	                  11	                   6	                  40	                  30	                  37	                  20	                  29	                  20	                  16	                  10	                  31	                  21	                  25
                   9	                   9	                  11	                  28	                  24	                  27	                  11	                  26	                  16	                  11	                   5	                  35	                  15	                  20
    Bicluster Number	E - energy production	G - amino acid metabolism	M - other metabolism	     P - translation	   T - transcription	B - transcriptional control	    F - protein fate	O - cellular organization	A - transport and sensing	R - stress and defense	D - genome maintenance	C - cellular fate / organization	 U - uncharacterized
                   0	                 117	                 108	                 323	                 300	                 329	                 224	                 258	                 220	                 220	                  67	                 311	                 194	                 287
                   1	                   7	                   8	                  32	                  18	                  24	                  17	                  15	                  21	                  10	                   7	                  23	                  16	                  22
                   2	                  11	                   8	                  25	                  16	                  20	                  18	                  19	                  19	                  14	                   8	                  25	                  17	                  19
                   3	                  21	                  13	                  30	                  46	                  25	                  24	                  22	                  26	                  33	                  12	                  27	                  31	                  32
                   4	                  12	                   6	                  37	                  27	                  27	                  18	                  29	                  27	                  24	                   7	                  22	                  12	                  24
                   5	                  12	                  11	                  40	                  31	                  25	                  23	                  19	                  34	                  19	                   4	                  26	                  18	                  20
                   6	                   6	                  10	                  16	                  26	                  27	                  12	                  19	                  13	                  12	                   8	                  18	                  19	                  19
                   7	                  16	                   6	                  27	                  26	                  27	                  21	                  18	                  15	                  18	                   1	                  27	                  12	                  26
